TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1569230607924	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230607923949000.png
1569230608355	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230608355283000.png
1569230608772	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230608772506000.png
1569230609310	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230609310803000.png
1569230609845	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230609845302000.png
1569230610281	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230610281279000.png
1569230610705	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230610705734000.png
1569230611130	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230611130293000.png
1569230611421	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230611421332000.png
1569230611897	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230611897666000.png
1569230612319	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230612318879000.png
1569230612657	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230612656582000.png
1569230613090	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230613090389000.png
1569230613525	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230613525576000.png
1569230613954	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230613953870000.png
1569230614391	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230614390908000.png
1569230614844	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230614844349000.png
1569230615277	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230615277165000.png
1569230615724	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230615724214000.png
1569230616152	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230616152566000.png
1569230616597	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230616597583000.png
1569230617025	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230617025458000.png
1569230617476	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230617476112000.png
1569230617917	-0.001641	0.002324	0.130885	0.999992	0.000171	-0.004079	0.000007	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1569230617917118000.png
