TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1569333621719	9.662421	-0.890234	0.127130	0.998098	-0.000119	-0.001572	-0.061630	0.000000	0.000000	0.000000	1	0	3688.616211	7.770886	img__0_1569333621719600000.png
1569333622019	10.416855	-0.985361	0.125923	0.998059	-0.000074	-0.000527	-0.062276	1.000000	-0.090000	0.000000	1	0	3619.025391	7.257654	img__0_1569333622019603000.png
1569333622311	11.118925	-1.085742	0.124542	0.997702	-0.000120	0.000674	-0.067749	1.000000	-0.090000	0.000000	1	0	3925.204102	6.799222	img__0_1569333622311077000.png
1569333622599	11.786445	-1.193564	0.123378	0.997126	-0.000185	0.001688	-0.075736	1.000000	-0.090000	0.000000	1	0	4216.903809	6.728872	img__0_1569333622598862000.png
1569333622886	12.445029	-1.311777	0.122733	0.996478	-0.000298	0.002255	-0.083830	1.000000	-0.110000	0.000000	1	0	4489.445312	6.601601	img__0_1569333622886574000.png
1569333623199	13.092353	-1.444932	0.122511	0.995355	-0.000296	0.002448	-0.096241	1.000000	-0.280000	0.000000	1	0	4744.366211	6.599835	img__0_1569333623198839000.png
1569333623471	13.730596	-1.605205	0.122662	0.993580	-0.000647	0.002360	-0.113102	1.000000	-0.390000	0.000000	1	0	4990.476562	6.540891	img__0_1569333623470948000.png
1569333623746	14.355342	-1.806416	0.123064	0.989948	-0.000948	0.002074	-0.141416	1.000000	-0.550000	0.000000	1	0	5261.920898	6.579350	img__0_1569333623746223000.png
1569333624019	14.966699	-2.057812	0.123648	0.984322	-0.001504	0.001702	-0.176365	1.000000	-0.440000	0.000000	1	0	5564.484375	6.668684	img__0_1569333624018866000.png
1569333624295	15.566367	-2.370469	0.124406	0.975666	-0.001994	0.001217	-0.219252	1.000000	-0.310000	0.000000	1	0	5896.250000	6.942453	img__0_1569333624295458000.png
1569333624557	16.173155	-2.738711	0.125359	0.966387	-0.002417	0.000560	-0.257081	1.000000	-0.310000	0.000000	1	0	6227.707520	7.390880	img__0_1569333624557520000.png
1569333624804	16.791328	-3.173242	0.126456	0.956134	-0.002799	-0.000226	-0.292915	1.000000	0.000000	0.000000	1	0	6558.705566	7.863250	img__0_1569333624804290000.png
1569333625042	17.435253	-3.650098	0.127546	0.949503	-0.002885	-0.001137	-0.313741	0.000000	0.000000	0.000000	1	0	6351.191895	8.327124	img__0_1569333625042509000.png
1569333625302	18.102617	-4.166084	0.128480	0.946126	-0.002874	-0.001973	-0.323780	0.000000	0.000000	0.000000	1	0	5225.062500	8.563885	img__0_1569333625301914000.png
1569333625560	18.771103	-4.693545	0.128848	0.944886	-0.002488	-0.002433	-0.327380	0.000000	-0.090000	0.000000	1	0	4312.666992	8.335647	img__0_1569333625559887000.png
1569333625799	19.402266	-5.215478	0.128373	0.941910	-0.002059	-0.002122	-0.335852	0.000000	-0.080000	0.000000	1	0	3569.106934	7.857562	img__0_1569333625799393000.png
1569333626037	19.984610	-5.713613	0.127153	0.938738	-0.001467	-0.001186	-0.344627	1.000000	-0.020000	0.000000	1	0	3509.599121	7.258557	img__0_1569333626037185000.png
1569333626272	20.518164	-6.182207	0.125547	0.936366	-0.000869	0.000094	-0.351024	1.000000	-0.020000	0.000000	1	0	3817.700928	6.828950	img__0_1569333626272040000.png
1569333626492	21.024549	-6.631680	0.124086	0.935442	-0.000271	0.001228	-0.353478	1.000000	-0.020000	0.000000	1	0	4113.378906	6.673559	img__0_1569333626492130000.png
1569333626727	21.513622	-7.081269	0.123087	0.932852	0.000185	0.001983	-0.360254	1.000000	-0.340000	0.000000	1	0	4393.092285	6.572524	img__0_1569333626727161000.png
1569333626947	21.979277	-7.541973	0.122551	0.928121	0.000151	0.002501	-0.372271	1.000000	-0.330000	0.000000	1	0	4654.355957	6.503248	img__0_1569333626947851000.png
1569333627174	22.414413	-8.024893	0.122457	0.918466	0.000082	0.002636	-0.395492	1.000000	-0.210000	0.000000	1	0	4899.188477	6.491951	img__0_1569333627174291000.png
1569333627382	22.831142	-8.523906	0.122734	0.909639	-0.000242	0.002539	-0.415392	1.000000	-0.270000	0.000000	1	0	5159.559570	6.521447	img__0_1569333627382390000.png
1569333627594	23.220694	-9.050517	0.123285	0.898154	-0.000552	0.002192	-0.439675	1.000000	-0.100000	0.000000	1	0	5450.536133	6.613728	img__0_1569333627593949000.png
1569333627804	23.605331	-9.595498	0.124015	0.890368	-0.000787	0.001625	-0.455238	1.000000	-0.040000	0.000000	1	0	5774.407227	6.814774	img__0_1569333627804166000.png
1569333628001	23.992285	-10.169257	0.124906	0.884676	-0.000983	0.000870	-0.466205	1.000000	-0.040000	0.000000	1	0	6109.308594	7.186702	img__0_1569333628001380000.png
1569333628197	24.397568	-10.783174	0.125956	0.881473	-0.001207	-0.000039	-0.472232	1.000000	-0.040000	0.000000	1	0	6438.454102	7.707069	img__0_1569333628197702000.png
1569333628397	24.817490	-11.448945	0.127087	0.877027	-0.001593	-0.000942	-0.480437	1.000000	-0.210000	0.000000	1	0	6769.091797	8.201985	img__0_1569333628397535000.png
1569333628596	25.233856	-12.172792	0.128136	0.868262	-0.002176	-0.001639	-0.496098	0.000000	-0.200000	0.000000	1	0	5564.876953	8.563345	img__0_1569333628596692000.png
1569333628794	25.623848	-12.935644	0.128774	0.855943	-0.002804	-0.001873	-0.517060	0.000000	-0.200000	0.000000	1	0	4588.049316	8.469563	img__0_1569333628794334000.png
1569333628987	25.964560	-13.697861	0.128624	0.842246	-0.003051	-0.001505	-0.539083	0.000000	-0.200000	0.000000	1	0	3794.143799	8.044563	img__0_1569333628986900000.png
1569333629173	26.244999	-14.433378	0.127682	0.826921	-0.002833	-0.000589	-0.562310	0.000000	-0.200000	0.000000	1	0	3145.165527	7.470217	img__0_1569333629173075000.png
1569333629346	26.472403	-15.123789	0.126170	0.813418	-0.002100	0.000573	-0.581675	1.000000	-0.090000	0.000000	1	0	3409.885498	6.876420	img__0_1569333629346273000.png
1569333629524	26.659248	-15.771358	0.124532	0.803022	-0.001151	0.001690	-0.595946	1.000000	-0.090000	0.000000	1	0	3716.341064	6.508383	img__0_1569333629524371000.png
1569333629667	26.824648	-16.396299	0.123221	0.795979	-0.000191	0.002416	-0.605319	1.000000	-0.090000	0.000000	1	0	4011.909180	6.379246	img__0_1569333629667528000.png
1569333629814	26.971436	-17.014599	0.122452	0.787573	0.000555	0.002701	-0.616216	1.000000	-0.090000	0.000000	1	0	4297.550293	6.301712	img__0_1569333629814257000.png
1569333629958	27.107792	-17.628164	0.122177	0.782230	0.000821	0.002799	-0.622982	1.000000	-0.090000	0.000000	1	0	4564.456055	6.256481	img__0_1569333629958299000.png
1569333630098	27.226650	-18.241962	0.122330	0.774557	0.000939	0.002539	-0.632499	1.000000	-0.090000	0.000000	1	0	4813.644043	6.248802	img__0_1569333630098038000.png
1569333630230	27.337538	-18.857548	0.122787	0.769649	0.000718	0.002210	-0.638463	1.000000	-0.090000	0.000000	1	0	5063.396484	6.280662	img__0_1569333630229900000.png
1569333630365	27.433397	-19.480556	0.123450	0.762270	0.000464	0.001676	-0.647257	1.000000	-0.090000	0.000000	1	0	5342.708496	6.366011	img__0_1569333630365476000.png
1569333630499	27.522451	-20.115536	0.124224	0.757290	0.000028	0.001169	-0.653077	1.000000	-0.090000	0.000000	1	0	5654.117188	6.534418	img__0_1569333630499710000.png
1569333630638	27.599100	-20.773495	0.125081	0.750159	-0.000419	0.000578	-0.661257	1.000000	-0.090000	0.000000	1	0	5988.871582	6.859235	img__0_1569333630638531000.png
1569333630768	27.669434	-21.472685	0.126066	0.744191	-0.000992	-0.000052	-0.667966	1.000000	-0.220000	0.000000	1	0	6317.656250	7.385010	img__0_1569333630768204000.png
1569333630900	27.718906	-22.226738	0.127155	0.733955	-0.001755	-0.000623	-0.679196	1.000000	-0.230000	0.000000	1	0	6646.455078	7.903807	img__0_1569333630900026000.png
1569333631032	27.735098	-23.033661	0.128207	0.718622	-0.002606	-0.001047	-0.695395	1.000000	-0.230000	0.000000	1	0	6983.728027	8.397769	img__0_1569333631032691000.png
1569333631164	27.707245	-23.888994	0.129123	0.698901	-0.003486	-0.001239	-0.715209	0.000000	-0.230000	0.000000	1	0	6230.193359	8.832078	img__0_1569333631163961000.png
1569333631288	27.624619	-24.774305	0.129704	0.676542	-0.004232	-0.001099	-0.736391	0.000000	-0.230000	0.000000	1	0	5130.638672	8.895841	img__0_1569333631288363000.png
1569333631415	27.483662	-25.644716	0.129572	0.651667	-0.004462	-0.000538	-0.758492	0.000000	-0.230000	0.000000	1	0	4237.702637	8.576297	img__0_1569333631415517000.png
1569333631535	27.294081	-26.464882	0.128599	0.626005	-0.003957	0.000333	-0.779809	0.000000	-0.230000	0.000000	1	0	3509.022949	8.039003	img__0_1569333631535581000.png
1569333631655	27.064911	-27.215117	0.126980	0.599126	-0.002887	0.001423	-0.800648	0.000000	-0.230000	0.000000	1	0	2912.318115	7.398569	img__0_1569333631655643000.png
1569333631793	26.809151	-27.886679	0.125028	0.573305	-0.001448	0.002495	-0.819337	1.000000	-0.230000	0.000000	1	0	3182.398926	6.755498	img__0_1569333631793386000.png
1569333631944	26.531328	-28.485966	0.123186	0.548641	0.000005	0.003356	-0.836051	1.000000	-0.230000	0.000000	1	0	3492.858398	6.314114	img__0_1569333631944772000.png
1569333632091	26.237665	-29.037460	0.121835	0.527834	0.001200	0.003781	-0.849338	1.000000	-0.230000	0.000000	1	0	3791.857422	6.128901	img__0_1569333632091271000.png
1569333632240	25.924950	-29.562138	0.121181	0.504803	0.002046	0.003583	-0.863225	1.000000	-0.230000	0.000000	1	0	4085.203857	6.042768	img__0_1569333632240490000.png
1569333632383	25.596182	-30.067158	0.121116	0.485644	0.002226	0.003454	-0.874147	1.000000	-0.230000	0.000000	1	0	4365.443848	5.986259	img__0_1569333632383676000.png
1569333632537	25.242723	-30.550018	0.121539	0.463160	0.002090	0.003014	-0.886267	1.000000	-0.230000	0.000000	1	0	4627.015625	5.971674	img__0_1569333632537789000.png
1569333632680	24.870663	-31.018007	0.122264	0.444428	0.001586	0.002682	-0.895809	1.000000	-0.230000	0.000000	1	0	4871.078125	5.996170	img__0_1569333632680245000.png
1569333632830	24.471827	-31.468994	0.123175	0.422308	0.000987	0.002185	-0.906449	1.000000	0.000000	0.000000	1	0	5126.367676	6.069628	img__0_1569333632830090000.png
1569333632966	24.061258	-31.921679	0.124139	0.409813	0.000332	0.001642	-0.912168	1.000000	0.000000	0.000000	1	0	5411.054199	6.223332	img__0_1569333632966562000.png
1569333633117	23.632168	-32.382488	0.125126	0.401638	-0.000323	0.001027	-0.915798	1.000000	0.000000	0.000000	1	0	5727.685547	6.481291	img__0_1569333633116861000.png
1569333633259	23.181366	-32.866756	0.126123	0.399684	-0.001004	0.000424	-0.916652	1.000000	0.000000	0.000000	1	0	6058.913574	6.947289	img__0_1569333633259488000.png
1569333633405	22.693661	-33.386837	0.127203	0.397767	-0.001762	-0.000190	-0.917485	1.000000	0.000000	0.000000	1	0	6386.774902	7.501380	img__0_1569333633404961000.png
1569333633549	22.168604	-33.946796	0.128264	0.397461	-0.002533	-0.000732	-0.917615	1.000000	0.000000	0.000000	1	0	6715.803223	8.030800	img__0_1569333633549277000.png
1569333633696	21.606894	-34.544064	0.129193	0.396818	-0.003228	-0.001161	-0.917891	0.000000	0.000000	0.000000	1	0	5990.017578	8.504950	img__0_1569333633696746000.png
1569333633845	21.020077	-35.168728	0.129779	0.397074	-0.003655	-0.001450	-0.917778	0.000000	0.000000	0.000000	1	0	4932.526855	8.589465	img__0_1569333633845103000.png
1569333633995	20.437500	-35.787380	0.129600	0.396411	-0.003490	-0.001415	-0.918065	0.000000	0.000000	0.000000	1	0	4075.204346	8.255329	img__0_1569333633995348000.png
1569333634145	19.883183	-36.377537	0.128559	0.397009	-0.002627	-0.001100	-0.917810	0.000000	0.110000	0.000000	1	0	3375.411377	7.723327	img__0_1569333634145088000.png
1569333634292	19.376268	-36.932068	0.126861	0.400846	-0.001202	-0.000653	-0.916145	1.000000	0.120000	0.000000	1	0	3332.210205	7.078516	img__0_1569333634291851000.png
1569333634441	18.923456	-37.454063	0.124916	0.410492	0.000439	-0.000165	-0.911864	1.000000	0.120000	0.000000	1	0	3642.795166	6.608297	img__0_1569333634441085000.png
1569333634587	18.506338	-37.957832	0.123269	0.419724	0.001845	0.000207	-0.907650	1.000000	0.120000	0.000000	1	0	3940.635986	6.429917	img__0_1569333634587235000.png
1569333634734	18.112305	-38.462635	0.122236	0.432974	0.002663	0.000584	-0.901402	1.000000	0.130000	0.000000	1	0	4229.953125	6.340711	img__0_1569333634734827000.png
1569333634873	17.733358	-38.968750	0.121801	0.443013	0.003075	0.000602	-0.896510	1.000000	0.130000	0.000000	1	0	4501.387695	6.284243	img__0_1569333634873297000.png
1569333635019	17.374462	-39.483906	0.121881	0.456926	0.002991	0.000629	-0.889500	1.000000	0.130000	0.000000	1	0	4754.777832	6.266422	img__0_1569333635018951000.png
1569333635160	17.026855	-40.005760	0.122332	0.467135	0.002694	0.000360	-0.884182	1.000000	0.140000	0.000000	1	0	5000.514648	6.286055	img__0_1569333635160183000.png
1569333635304	16.696524	-40.542812	0.123034	0.481266	0.002143	0.000117	-0.876572	1.000000	0.260000	0.000000	1	0	5272.414062	6.345088	img__0_1569333635304278000.png
1569333635446	16.384228	-41.099998	0.123854	0.496554	0.001624	-0.000384	-0.868004	1.000000	0.270000	0.000000	1	0	5575.700195	6.488155	img__0_1569333635446372000.png
1569333635589	16.093613	-41.689510	0.124764	0.517698	0.001033	-0.000883	-0.855562	1.000000	0.270000	0.000000	1	0	5907.911133	6.771114	img__0_1569333635589252000.png
1569333635747	15.817363	-42.325390	0.125783	0.539021	0.000428	-0.001525	-0.842291	1.000000	0.280000	0.000000	1	0	6237.652832	7.265342	img__0_1569333635747303000.png
1569333635885	15.560966	-43.023888	0.126911	0.564035	-0.000192	-0.002281	-0.825748	1.000000	0.330000	0.000000	1	0	6566.937500	7.767502	img__0_1569333635885401000.png
1569333636020	15.338290	-43.785450	0.128003	0.592626	-0.000674	-0.003128	-0.805471	0.000000	0.330000	0.000000	1	0	6358.218262	8.237274	img__0_1569333636020433000.png
1569333636141	15.165908	-44.602402	0.128907	0.624369	-0.000870	-0.004009	-0.781119	0.000000	0.320000	0.000000	1	0	5230.878418	8.454009	img__0_1569333636141680000.png
1569333636264	15.063115	-45.439003	0.129256	0.656849	-0.000604	-0.004607	-0.754008	0.000000	0.320000	0.000000	1	0	4315.746094	8.256538	img__0_1569333636263958000.png
1569333636377	15.036152	-46.252422	0.128801	0.689615	0.000130	-0.004596	-0.724161	0.000000	0.320000	0.000000	1	0	3570.321777	7.810745	img__0_1569333636377219000.png
1569333636496	15.067363	-47.015995	0.127604	0.717468	0.001030	-0.003820	-0.696580	0.000000	0.140000	0.000000	1	0	2960.728760	7.234044	img__0_1569333636496417000.png
1569333636615	15.136123	-47.716602	0.125934	0.737895	0.002005	-0.002595	-0.674908	1.000000	0.140000	0.000000	1	0	3228.389160	6.643069	img__0_1569333636615006000.png
1569333636748	15.233906	-48.359314	0.124188	0.752291	0.002809	-0.001185	-0.658824	1.000000	0.140000	0.000000	1	0	3537.151611	6.240074	img__0_1569333636748514000.png
1569333636876	15.351582	-48.967773	0.122827	0.764925	0.003110	0.000179	-0.644112	1.000000	0.140000	0.000000	1	0	3834.009521	6.107715	img__0_1569333636876781000.png
1569333637000	15.479697	-49.562420	0.122034	0.774044	0.003200	0.001030	-0.633123	1.000000	0.140000	0.000000	1	0	4126.452148	6.024782	img__0_1569333637000468000.png
1569333637128	15.629501	-50.144588	0.121804	0.785294	0.003011	0.001468	-0.619114	1.000000	0.180000	0.000000	1	0	4403.884277	5.976414	img__0_1569333637128420000.png
1569333637263	15.795781	-50.718067	0.122002	0.794511	0.002844	0.001399	-0.607241	1.000000	0.230000	0.000000	1	0	4663.088867	5.958777	img__0_1569333637263203000.png
1569333637405	15.990205	-51.282497	0.122531	0.807338	0.002439	0.001157	-0.590083	1.000000	0.230000	0.000000	1	0	4906.415039	5.986944	img__0_1569333637405527000.png
1569333637564	16.206640	-51.843376	0.123255	0.818349	0.002120	0.000639	-0.574718	1.000000	0.220000	0.000000	1	0	5165.901855	6.068475	img__0_1569333637564771000.png
1569333637731	16.453779	-52.403164	0.124101	0.831215	0.001675	0.000087	-0.555949	1.000000	0.090000	0.000000	1	0	5455.281250	6.226678	img__0_1569333637731575000.png
1569333637901	16.719873	-52.975742	0.125004	0.839351	0.001200	-0.000518	-0.543589	1.000000	0.090000	0.000000	1	0	5775.775391	6.531501	img__0_1569333637901020000.png
1569333638087	17.016396	-53.575195	0.126009	0.846475	0.000636	-0.001177	-0.532428	1.000000	0.090000	0.000000	1	0	6105.211426	7.043406	img__0_1569333638087386000.png
1569333638261	17.350527	-54.215508	0.127117	0.852817	0.000086	-0.001954	-0.522207	1.000000	0.210000	0.000000	1	0	6433.416504	7.577200	img__0_1569333638261551000.png
1569333638465	17.737452	-54.887108	0.128190	0.862543	-0.000262	-0.002810	-0.505975	1.000000	0.210000	0.000000	1	0	6763.546875	8.090384	img__0_1569333638464989000.png
1569333638645	18.180214	-55.583965	0.129122	0.873938	-0.000416	-0.003620	-0.486024	0.000000	0.160000	0.000000	1	0	6033.162598	8.543896	img__0_1569333638645713000.png
1569333638839	18.670624	-56.291523	0.129716	0.884413	-0.000361	-0.004197	-0.466686	0.000000	0.000000	0.000000	1	0	4968.138672	8.623647	img__0_1569333638839478000.png
1569333639025	19.167383	-56.985935	0.129569	0.889131	-0.000303	-0.004054	-0.457636	0.000000	0.000000	0.000000	1	0	4104.495117	8.292254	img__0_1569333639025023000.png
1569333639220	19.646954	-57.641953	0.128550	0.891587	-0.000142	-0.003118	-0.452839	0.000000	0.000000	0.000000	1	0	3400.003418	7.748092	img__0_1569333639220488000.png
1569333639414	20.094151	-58.250076	0.126871	0.892302	0.000182	-0.001631	-0.451435	1.000000	0.000000	0.000000	1	0	3660.006104	7.169597	img__0_1569333639413959000.png
1569333639608	20.513681	-58.815605	0.125026	0.893176	0.000628	-0.000053	-0.449708	1.000000	0.000000	0.000000	1	0	3963.393311	6.842128	img__0_1569333639608385000.png
1569333639800	20.916914	-59.363514	0.123541	0.892515	0.001029	0.001187	-0.451015	1.000000	-0.130000	0.000000	1	0	4252.903809	6.722209	img__0_1569333639800580000.png
1569333639988	21.308506	-59.906464	0.122608	0.891509	0.001083	0.002063	-0.452996	1.000000	-0.020000	0.000000	1	0	4523.656738	6.642181	img__0_1569333639988400000.png
1569333640177	21.689081	-60.449276	0.122215	0.888188	0.001222	0.002368	-0.459473	1.000000	-0.020000	0.000000	1	0	4776.440918	6.605640	img__0_1569333640176943000.png
1569333640365	22.068251	-60.989685	0.122283	0.887438	0.001031	0.002394	-0.460920	1.000000	-0.020000	0.000000	1	0	5024.364258	6.602965	img__0_1569333640365077000.png
1569333640560	22.437325	-61.538025	0.122696	0.884218	0.000827	0.002093	-0.467069	1.000000	-0.200000	0.000000	1	0	5300.374023	6.632385	img__0_1569333640560186000.png
1569333640745	22.793163	-62.101151	0.123332	0.879148	0.000333	0.001732	-0.476546	1.000000	-0.200000	0.000000	1	0	5608.737305	6.738530	img__0_1569333640745212000.png
1569333640928	23.132969	-62.690212	0.124134	0.870115	-0.000155	0.001216	-0.492848	1.000000	-0.190000	0.000000	1	0	5945.520508	6.957926	img__0_1569333640928001000.png
1569333641102	23.469755	-63.313984	0.125089	0.862032	-0.000731	0.000604	-0.506854	1.000000	-0.090000	0.000000	1	0	6277.820801	7.399510	img__0_1569333641101960000.png
